Reference, FixingDate, EffectiveDate, MaturityDate, Value
USD-SOFRCMP-OFFSET2-3M,2014-11-19,2014-11-17,2015-02-17,9.414148176064515E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-20,2014-11-18,2015-02-18,9.392403875956206E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-21,2014-11-19,2015-02-19,9.381531725906394E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-24,2014-11-20,2015-02-20,9.370659575795763E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-25,2014-11-21,2015-02-23,9.245769592846702E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-26,2014-11-24,2015-02-24,9.240194364013987E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-27,2014-11-25,2015-02-25,9.196705932905573E-4
USD-SOFRCMP-OFFSET2-3M,2014-11-28,2014-11-25,2015-02-25,9.196705932905573E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-01,2014-11-26,2015-02-26,9.153217550141096E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-02,2014-11-28,2015-02-27,9.132895499319117E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-03,2014-12-01,2015-03-02,9.033972474988864E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-04,2014-12-02,2015-03-02,8.98987303910026E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-05,2014-12-03,2015-03-03,8.945418766383995E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-08,2014-12-04,2015-03-04,8.889850971893765E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-09,2014-12-05,2015-03-05,8.845396798013994E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-10,2014-12-08,2015-03-09,8.726212925706419E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-11,2014-12-09,2015-03-09,8.689808547748257E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-12,2014-12-10,2015-03-10,8.656468074788037E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-15,2014-12-11,2015-03-11,8.63424110511879E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-16,2014-12-12,2015-03-12,8.57867374282506E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-17,2014-12-15,2015-03-16,8.506385851272733E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-18,2014-12-16,2015-03-16,8.467539691130455E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-19,2014-12-17,2015-03-17,8.467539691165982E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-22,2014-12-18,2015-03-18,8.511993408095719E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-23,2014-12-19,2015-03-19,8.511993408095719E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-24,2014-12-22,2015-03-23,8.396473272682474E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-29,2014-12-24,2015-03-24,8.378633035048821E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-30,2014-12-26,2015-03-26,8.423086887896503E-4
USD-SOFRCMP-OFFSET2-3M,2014-12-31,2014-12-29,2015-03-30,8.561342989304327E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-02,2014-12-30,2015-03-30,8.567561094574572E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-05,2014-12-31,2015-03-31,8.612014959767933E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-06,2015-01-02,2015-04-02,8.834285026511068E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-07,2015-01-05,2015-04-06,8.979014591979563E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-08,2015-01-06,2015-04-06,8.989872554376888E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-09,2015-01-07,2015-04-07,9.045440487822631E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-12,2015-01-08,2015-04-08,9.101008498459962E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-13,2015-01-09,2015-04-09,9.156576586271115E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-14,2015-01-12,2015-04-13,9.429666062353128E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-15,2015-01-13,2015-04-13,9.445530250742351E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-16,2015-01-14,2015-04-14,9.512212511788576E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-19,2015-01-15,2015-04-15,9.578894883954803E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-20,2015-01-15,2015-04-15,9.578894883954803E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-21,2015-01-16,2015-04-16,9.667804812290015E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-22,2015-01-20,2015-04-20,9.945649159552872E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-23,2015-01-21,2015-04-21,9.967876851577628E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-26,2015-01-22,2015-04-22,9.97899070995345E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-27,2015-01-23,2015-04-23,9.990104574457703E-4
USD-SOFRCMP-OFFSET2-3M,2015-01-28,2015-01-26,2015-04-27,0.001001222399700107
USD-SOFRCMP-OFFSET2-3M,2015-01-29,2015-01-27,2015-04-27,0.0010045673619289985
USD-SOFRCMP-OFFSET2-3M,2015-01-30,2015-01-28,2015-04-28,0.0010079015268411595
USD-SOFRCMP-OFFSET2-3M,2015-02-02,2015-01-29,2015-04-29,0.0010112356954676827
USD-SOFRCMP-OFFSET2-3M,2015-02-03,2015-01-30,2015-04-30,0.0010145698668653225
USD-SOFRCMP-OFFSET2-3M,2015-02-04,2015-02-02,2015-05-04,0.0010429911882414101
USD-SOFRCMP-OFFSET2-3M,2015-02-05,2015-02-03,2015-05-04,0.0010445773677769665
USD-SOFRCMP-OFFSET2-3M,2015-02-06,2015-02-04,2015-05-04,0.0010461992170859014
USD-SOFRCMP-OFFSET2-3M,2015-02-09,2015-02-05,2015-05-05,0.0010484469843256552
USD-SOFRCMP-OFFSET2-3M,2015-02-10,2015-02-06,2015-05-06,0.001048446984323859
USD-SOFRCMP-OFFSET2-3M,2015-02-11,2015-02-09,2015-05-11,0.0010254043067360196
USD-SOFRCMP-OFFSET2-3M,2015-02-12,2015-02-10,2015-05-11,0.001025683727688964
USD-SOFRCMP-OFFSET2-3M,2015-02-13,2015-02-11,2015-05-11,0.0010270933366701644
USD-SOFRCMP-OFFSET2-3M,2015-02-16,2015-02-12,2015-05-12,0.0010270933366719607
USD-SOFRCMP-OFFSET2-3M,2015-02-17,2015-02-12,2015-05-12,0.0010270933366719607
USD-SOFRCMP-OFFSET2-3M,2015-02-18,2015-02-13,2015-05-13,0.0010248455819219914
USD-SOFRCMP-OFFSET2-3M,2015-02-19,2015-02-17,2015-05-18,0.0010279065870388848
USD-SOFRCMP-OFFSET2-3M,2015-02-20,2015-02-18,2015-05-18,0.0010304650452831478
USD-SOFRCMP-OFFSET2-3M,2015-02-23,2015-02-19,2015-05-19,0.0010304650452831478
USD-SOFRCMP-OFFSET2-3M,2015-02-24,2015-02-20,2015-05-20,0.0010293411654103857
USD-SOFRCMP-OFFSET2-3M,2015-02-25,2015-02-23,2015-05-26,0.0010262182086793483
USD-SOFRCMP-OFFSET2-3M,2015-02-26,2015-02-24,2015-05-26,0.0010319993930258515
USD-SOFRCMP-OFFSET2-3M,2015-02-27,2015-02-25,2015-05-26,0.001039020454038031
USD-SOFRCMP-OFFSET2-3M,2015-03-02,2015-02-26,2015-05-26,0.0010461992966923352
USD-SOFRCMP-OFFSET2-3M,2015-03-03,2015-02-27,2015-05-27,0.0010495709503623022
USD-SOFRCMP-OFFSET2-3M,2015-03-04,2015-03-02,2015-06-02,0.001059922664513457
USD-SOFRCMP-OFFSET2-3M,2015-03-05,2015-03-03,2015-06-03,0.0010631844091912868
USD-SOFRCMP-OFFSET2-3M,2015-03-06,2015-03-04,2015-06-04,0.0010697079076101316
USD-SOFRCMP-OFFSET2-3M,2015-03-09,2015-03-05,2015-06-05,0.0010729696613528841
USD-SOFRCMP-OFFSET2-3M,2015-03-10,2015-03-06,2015-06-08,0.001071422890361742
USD-SOFRCMP-OFFSET2-3M,2015-03-11,2015-03-09,2015-06-09,0.0010729696613511464
USD-SOFRCMP-OFFSET2-3M,2015-03-12,2015-03-10,2015-06-10,0.001074056913501197
USD-SOFRCMP-OFFSET2-3M,2015-03-13,2015-03-11,2015-06-11,0.0010751441659527458
USD-SOFRCMP-OFFSET2-3M,2015-03-16,2015-03-12,2015-06-12,0.0010794931781935146
USD-SOFRCMP-OFFSET2-3M,2015-03-17,2015-03-13,2015-06-15,0.001086320623479516
USD-SOFRCMP-OFFSET2-3M,2015-03-18,2015-03-16,2015-06-16,0.0010914529410005723
USD-SOFRCMP-OFFSET2-3M,2015-03-19,2015-03-17,2015-06-17,0.0010903656852229884
USD-SOFRCMP-OFFSET2-3M,2015-03-20,2015-03-18,2015-06-18,0.001086016665736711
USD-SOFRCMP-OFFSET2-3M,2015-03-23,2015-03-19,2015-06-19,0.0010827549020288863
USD-SOFRCMP-OFFSET2-3M,2015-03-24,2015-03-20,2015-06-22,0.0010746152604568238
USD-SOFRCMP-OFFSET2-3M,2015-03-25,2015-03-23,2015-06-23,0.0010773186306966627
USD-SOFRCMP-OFFSET2-3M,2015-03-26,2015-03-24,2015-06-24,0.001074056870615502
USD-SOFRCMP-OFFSET2-3M,2015-03-27,2015-03-25,2015-06-25,0.0010740568706146332
USD-SOFRCMP-OFFSET2-3M,2015-03-30,2015-03-26,2015-06-26,0.0010718823681217819
USD-SOFRCMP-OFFSET2-3M,2015-03-31,2015-03-27,2015-06-29,0.0010714228309428892
USD-SOFRCMP-OFFSET2-3M,2015-04-01,2015-03-30,2015-06-30,0.0010697078668401355
USD-SOFRCMP-OFFSET2-3M,2015-04-02,2015-03-31,2015-06-30,0.0010682725242462865
USD-SOFRCMP-OFFSET2-3M,2015-04-07,2015-04-02,2015-07-02,0.0010605781808816382
USD-SOFRCMP-OFFSET2-3M,2015-04-08,2015-04-06,2015-07-06,0.0010517847422634992
USD-SOFRCMP-OFFSET2-3M,2015-04-09,2015-04-07,2015-07-07,0.0010495863630705278
USD-SOFRCMP-OFFSET2-3M,2015-04-10,2015-04-08,2015-07-08,0.0010473879850968007
USD-SOFRCMP-OFFSET2-3M,2015-04-13,2015-04-09,2015-07-09,0.0010451896083449534
USD-SOFRCMP-OFFSET2-3M,2015-04-14,2015-04-10,2015-07-10,0.001044090420887416
USD-SOFRCMP-OFFSET2-3M,2015-04-15,2015-04-13,2015-07-13,0.0010407928887323902
USD-SOFRCMP-OFFSET2-3M,2015-04-16,2015-04-14,2015-07-14,0.0010396937027997869
USD-SOFRCMP-OFFSET2-3M,2015-04-17,2015-04-15,2015-07-15,0.0010396937027989084
USD-SOFRCMP-OFFSET2-3M,2015-04-20,2015-04-16,2015-07-16,0.0010385945183921175
USD-SOFRCMP-OFFSET2-3M,2015-04-21,2015-04-17,2015-07-17,0.0010374953339853266
USD-SOFRCMP-OFFSET2-3M,2015-04-22,2015-04-20,2015-07-20,0.0010276027622591422
USD-SOFRCMP-OFFSET2-3M,2015-04-23,2015-04-21,2015-07-21,0.0010265035790689605
USD-SOFRCMP-OFFSET2-3M,2015-04-24,2015-04-22,2015-07-22,0.0010276027628687643
USD-SOFRCMP-OFFSET2-3M,2015-04-27,2015-04-23,2015-07-23,0.0010276027628696427
USD-SOFRCMP-OFFSET2-3M,2015-04-28,2015-04-24,2015-07-24,0.0010309003170044491
USD-SOFRCMP-OFFSET2-3M,2015-04-29,2015-04-27,2015-07-27,0.001050685542891097
USD-SOFRCMP-OFFSET2-3M,2015-04-30,2015-04-28,2015-07-28,0.0010583798743558138
USD-SOFRCMP-OFFSET2-3M,2015-05-01,2015-04-29,2015-07-29,0.001066074222906643
USD-SOFRCMP-OFFSET2-3M,2015-05-05,2015-05-01,2015-08-03,0.0011225006741328112
USD-SOFRCMP-OFFSET2-3M,2015-05-06,2015-05-04,2015-08-04,0.0011218958270108955
USD-SOFRCMP-OFFSET2-3M,2015-05-07,2015-05-05,2015-08-05,0.0011316812132678362
USD-SOFRCMP-OFFSET2-3M,2015-05-08,2015-05-06,2015-08-06,0.0011414666239860794
USD-SOFRCMP-OFFSET2-3M,2015-05-11,2015-05-07,2015-08-07,0.0011534266069613687
USD-SOFRCMP-OFFSET2-3M,2015-05-12,2015-05-08,2015-08-10,0.0011852851040882349
USD-SOFRCMP-OFFSET2-3M,2015-05-13,2015-05-11,2015-08-11,0.0012077903118156781
USD-SOFRCMP-OFFSET2-3M,2015-05-14,2015-05-12,2015-08-12,0.001218663207847895
USD-SOFRCMP-OFFSET2-3M,2015-05-15,2015-05-13,2015-08-13,0.0012306234233823736
USD-SOFRCMP-OFFSET2-3M,2015-05-18,2015-05-14,2015-08-14,0.0012414963767904336
USD-SOFRCMP-OFFSET2-3M,2015-05-19,2015-05-15,2015-08-17,0.00126828977795864
USD-SOFRCMP-OFFSET2-3M,2015-05-20,2015-05-18,2015-08-18,0.0012817263101619952
USD-SOFRCMP-OFFSET2-3M,2015-05-21,2015-05-19,2015-08-19,0.0012947740354708808
USD-SOFRCMP-OFFSET2-3M,2015-05-22,2015-05-20,2015-08-20,0.0013078218115235238
USD-SOFRCMP-OFFSET2-3M,2015-05-26,2015-05-21,2015-08-21,0.0013186949944792691
USD-SOFRCMP-OFFSET2-3M,2015-05-27,2015-05-22,2015-08-24,0.001328948369035516
USD-SOFRCMP-OFFSET2-3M,2015-05-28,2015-05-26,2015-08-26,0.0013567512994266228
USD-SOFRCMP-OFFSET2-3M,2015-05-29,2015-05-27,2015-08-27,0.001364362616292093
USD-SOFRCMP-OFFSET2-3M,2015-06-01,2015-05-28,2015-08-28,0.0013719739521866892
USD-SOFRCMP-OFFSET2-3M,2015-06-02,2015-05-29,2015-08-31,0.0013832226441335331
USD-SOFRCMP-OFFSET2-3M,2015-06-03,2015-06-01,2015-09-01,0.0013948079671177245
USD-SOFRCMP-OFFSET2-3M,2015-06-04,2015-06-02,2015-09-02,0.0014035066874548093
USD-SOFRCMP-OFFSET2-3M,2015-06-05,2015-06-03,2015-09-03,0.0014100307440115378
USD-SOFRCMP-OFFSET2-3M,2015-06-08,2015-06-04,2015-09-04,0.0014111180882844195
USD-SOFRCMP-OFFSET2-3M,2015-06-09,2015-06-05,2015-09-08,0.0014055177589789025
USD-SOFRCMP-OFFSET2-3M,2015-06-10,2015-06-08,2015-09-08,0.001418729341419999
USD-SOFRCMP-OFFSET2-3M,2015-06-11,2015-06-09,2015-09-09,0.0014198166890119648
USD-SOFRCMP-OFFSET2-3M,2015-06-12,2015-06-10,2015-09-10,0.0014209040372086645
USD-SOFRCMP-OFFSET2-3M,2015-06-15,2015-06-11,2015-09-11,0.0014263407797057343
USD-SOFRCMP-OFFSET2-3M,2015-06-16,2015-06-12,2015-09-14,0.0014289837471918952
USD-SOFRCMP-OFFSET2-3M,2015-06-17,2015-06-15,2015-09-15,0.00143612688448357
USD-SOFRCMP-OFFSET2-3M,2015-06-18,2015-06-16,2015-09-16,0.0014383015875194818
USD-SOFRCMP-OFFSET2-3M,2015-06-19,2015-06-17,2015-09-17,0.0014393889399449725
USD-SOFRCMP-OFFSET2-3M,2015-06-22,2015-06-18,2015-09-18,0.0014415636460045527
USD-SOFRCMP-OFFSET2-3M,2015-06-23,2015-06-19,2015-09-21,0.0014332406789343223
USD-SOFRCMP-OFFSET2-3M,2015-06-24,2015-06-22,2015-09-22,0.0014491751002974837
USD-SOFRCMP-OFFSET2-3M,2015-06-25,2015-06-23,2015-09-23,0.0014546118880965765
USD-SOFRCMP-OFFSET2-3M,2015-06-26,2015-06-24,2015-09-24,0.0014589613243816233
USD-SOFRCMP-OFFSET2-3M,2015-06-29,2015-06-25,2015-09-25,0.0014633107618691864
USD-SOFRCMP-OFFSET2-3M,2015-06-30,2015-06-26,2015-09-28,0.0014566536574672653
USD-SOFRCMP-OFFSET2-3M,2015-07-01,2015-06-29,2015-09-29,0.001463310761872662
USD-SOFRCMP-OFFSET2-3M,2015-07-02,2015-06-30,2015-09-30,0.0014633107618683176
USD-SOFRCMP-OFFSET2-3M,2015-07-03,2015-07-01,2015-10-01,0.001469834909042994
USD-SOFRCMP-OFFSET2-3M,2015-07-06,2015-07-01,2015-10-01,0.001469834909042994
USD-SOFRCMP-OFFSET2-3M,2015-07-07,2015-07-02,2015-10-02,0.001469834909043863
USD-SOFRCMP-OFFSET2-3M,2015-07-08,2015-07-06,2015-10-06,0.0014654855935804295
USD-SOFRCMP-OFFSET2-3M,2015-07-09,2015-07-07,2015-10-07,0.001464398233000592
USD-SOFRCMP-OFFSET2-3M,2015-07-10,2015-07-08,2015-10-08,0.0014643982329962475
USD-SOFRCMP-OFFSET2-3M,2015-07-13,2015-07-09,2015-10-09,0.0014643982329988542
USD-SOFRCMP-OFFSET2-3M,2015-07-14,2015-07-10,2015-10-13,0.0014560628702938434
USD-SOFRCMP-OFFSET2-3M,2015-07-15,2015-07-13,2015-10-13,0.0014578739988381074
USD-SOFRCMP-OFFSET2-3M,2015-07-16,2015-07-14,2015-10-14,0.001455699283716211
USD-SOFRCMP-OFFSET2-3M,2015-07-17,2015-07-15,2015-10-15,0.0014556992837153422
USD-SOFRCMP-OFFSET2-3M,2015-07-20,2015-07-16,2015-10-16,0.0014546119279690297
USD-SOFRCMP-OFFSET2-3M,2015-07-21,2015-07-17,2015-10-19,0.0014609104561875885
USD-SOFRCMP-OFFSET2-3M,2015-07-22,2015-07-20,2015-10-20,0.0014654853948350617
USD-SOFRCMP-OFFSET2-3M,2015-07-23,2015-07-21,2015-10-21,0.0014665727554148992
USD-SOFRCMP-OFFSET2-3M,2015-07-24,2015-07-22,2015-10-22,0.0014665727554140303
USD-SOFRCMP-OFFSET2-3M,2015-07-27,2015-07-23,2015-10-23,0.0014665727554148992
USD-SOFRCMP-OFFSET2-3M,2015-07-28,2015-07-24,2015-10-26,0.0014577178224132157
USD-SOFRCMP-OFFSET2-3M,2015-07-29,2015-07-27,2015-10-27,0.001451349857399712
USD-SOFRCMP-OFFSET2-3M,2015-07-30,2015-07-28,2015-10-28,0.0014415636638242114
USD-SOFRCMP-OFFSET2-3M,2015-07-31,2015-07-29,2015-10-29,0.0014317774920000073
USD-SOFRCMP-OFFSET2-3M,2015-08-03,2015-07-30,2015-10-30,0.0014219913473488496
USD-SOFRCMP-OFFSET2-3M,2015-08-04,2015-07-31,2015-10-30,0.0014156317392950107
USD-SOFRCMP-OFFSET2-3M,2015-08-05,2015-08-03,2015-11-03,0.001358926233821814
USD-SOFRCMP-OFFSET2-3M,2015-08-06,2015-08-04,2015-11-04,0.0013480529511944934
USD-SOFRCMP-OFFSET2-3M,2015-08-07,2015-08-05,2015-11-05,0.001337179698773445
USD-SOFRCMP-OFFSET2-3M,2015-08-10,2015-08-06,2015-11-06,0.0013317430876643192
USD-SOFRCMP-OFFSET2-3M,2015-08-11,2015-08-07,2015-11-09,0.0013151141768675183
USD-SOFRCMP-OFFSET2-3M,2015-08-12,2015-08-10,2015-11-10,0.0012882507212985672
USD-SOFRCMP-OFFSET2-3M,2015-08-13,2015-08-11,2015-11-12,0.0012700960932516608
USD-SOFRCMP-OFFSET2-3M,2015-08-14,2015-08-12,2015-11-12,0.0012643299465262838
USD-SOFRCMP-OFFSET2-3M,2015-08-17,2015-08-13,2015-11-13,0.0012534569296854864
USD-SOFRCMP-OFFSET2-3M,2015-08-18,2015-08-14,2015-11-16,0.0012374292798025643
USD-SOFRCMP-OFFSET2-3M,2015-08-19,2015-08-17,2015-11-17,0.0012110527257729225
USD-SOFRCMP-OFFSET2-3M,2015-08-20,2015-08-18,2015-11-18,0.0011990925700410416
USD-SOFRCMP-OFFSET2-3M,2015-08-21,2015-08-19,2015-11-19,0.001186045163665731
USD-SOFRCMP-OFFSET2-3M,2015-08-24,2015-08-20,2015-11-20,0.0011751723552234495
USD-SOFRCMP-OFFSET2-3M,2015-08-25,2015-08-21,2015-11-23,0.0011501686880901851
USD-SOFRCMP-OFFSET2-3M,2015-08-26,2015-08-24,2015-11-24,0.0011349433550984114
USD-SOFRCMP-OFFSET2-3M,2015-08-27,2015-08-25,2015-11-25,0.001125157952533646
USD-SOFRCMP-OFFSET2-3M,2015-08-28,2015-08-26,2015-11-27,0.0011162862004836013
USD-SOFRCMP-OFFSET2-3M,2015-09-01,2015-08-28,2015-11-30,0.0011129237840654528
USD-SOFRCMP-OFFSET2-3M,2015-09-02,2015-08-31,2015-11-30,0.0011001492778276408
USD-SOFRCMP-OFFSET2-3M,2015-09-03,2015-09-01,2015-12-01,0.0010946532779324521
USD-SOFRCMP-OFFSET2-3M,2015-09-04,2015-09-02,2015-12-02,0.0010847604891157463
USD-SOFRCMP-OFFSET2-3M,2015-09-07,2015-09-03,2015-12-03,0.0010770661106398436
USD-SOFRCMP-OFFSET2-3M,2015-09-08,2015-09-03,2015-12-03,0.0010770661106398436
USD-SOFRCMP-OFFSET2-3M,2015-09-09,2015-09-04,2015-12-04,0.00107706611063633
USD-SOFRCMP-OFFSET2-3M,2015-09-10,2015-09-08,2015-12-08,0.0010858597751985674
USD-SOFRCMP-OFFSET2-3M,2015-09-11,2015-09-09,2015-12-09,0.0010924549714066277
USD-SOFRCMP-OFFSET2-3M,2015-09-14,2015-09-10,2015-12-10,0.0011023477849551983
USD-SOFRCMP-OFFSET2-3M,2015-09-15,2015-09-11,2015-12-11,0.0011067445970801327
USD-SOFRCMP-OFFSET2-3M,2015-09-16,2015-09-14,2015-12-14,0.0011100421841933941
USD-SOFRCMP-OFFSET2-3M,2015-09-17,2015-09-15,2015-12-15,0.0011111413893589643
USD-SOFRCMP-OFFSET2-3M,2015-09-18,2015-09-16,2015-12-16,0.0011177366203752247
USD-SOFRCMP-OFFSET2-3M,2015-09-21,2015-09-17,2015-12-17,0.001130927111719683
USD-SOFRCMP-OFFSET2-3M,2015-09-22,2015-09-18,2015-12-18,0.0011529113372419012
USD-SOFRCMP-OFFSET2-3M,2015-09-23,2015-09-21,2015-12-21,0.001232054615058944
USD-SOFRCMP-OFFSET2-3M,2015-09-24,2015-09-22,2015-12-22,0.0012540394207122701
USD-SOFRCMP-OFFSET2-3M,2015-09-25,2015-09-23,2015-12-23,0.001272726609343073
USD-SOFRCMP-OFFSET2-3M,2015-09-28,2015-09-24,2015-12-24,0.0012936123951718022
USD-SOFRCMP-OFFSET2-3M,2015-09-29,2015-09-25,2015-12-28,0.0013842844826638277
USD-SOFRCMP-OFFSET2-3M,2015-09-30,2015-09-28,2015-12-28,0.0013936437235097443
USD-SOFRCMP-OFFSET2-3M,2015-10-01,2015-09-29,2015-12-29,0.0014244237082272383
USD-SOFRCMP-OFFSET2-3M,2015-10-02,2015-09-30,2015-12-30,0.0014574025197840194
USD-SOFRCMP-OFFSET2-3M,2015-10-05,2015-10-01,2016-01-04,0.0015982184727689635
USD-SOFRCMP-OFFSET2-3M,2015-10-06,2015-10-02,2016-01-04,0.0016024494980030075
USD-SOFRCMP-OFFSET2-3M,2015-10-07,2015-10-05,2016-01-05,0.0016438097702246555
USD-SOFRCMP-OFFSET2-3M,2015-10-08,2015-10-06,2016-01-06,0.001670995023098691
USD-SOFRCMP-OFFSET2-3M,2015-10-09,2015-10-07,2016-01-07,0.0017025301441827038
USD-SOFRCMP-OFFSET2-3M,2015-10-12,2015-10-08,2016-01-08,0.0017308032312603255
USD-SOFRCMP-OFFSET2-3M,2015-10-13,2015-10-08,2016-01-08,0.0017308032312603255
USD-SOFRCMP-OFFSET2-3M,2015-10-14,2015-10-09,2016-01-11,0.0017982787738603971
USD-SOFRCMP-OFFSET2-3M,2015-10-15,2015-10-13,2016-01-13,0.001864558503121259
USD-SOFRCMP-OFFSET2-3M,2015-10-16,2015-10-14,2016-01-14,0.0018917452814185603
USD-SOFRCMP-OFFSET2-3M,2015-10-19,2015-10-15,2016-01-15,0.0019156697925246948
USD-SOFRCMP-OFFSET2-3M,2015-10-20,2015-10-16,2016-01-19,0.001998402299528348
USD-SOFRCMP-OFFSET2-3M,2015-10-21,2015-10-19,2016-01-19,0.0020081043611526765
USD-SOFRCMP-OFFSET2-3M,2015-10-22,2015-10-20,2016-01-20,0.0020331170934380664
USD-SOFRCMP-OFFSET2-3M,2015-10-23,2015-10-21,2016-01-21,0.0020635675961313263
USD-SOFRCMP-OFFSET2-3M,2015-10-26,2015-10-22,2016-01-22,0.002098368460651884
USD-SOFRCMP-OFFSET2-3M,2015-10-27,2015-10-23,2016-01-25,0.0021995448760410105
USD-SOFRCMP-OFFSET2-3M,2015-10-28,2015-10-26,2016-01-26,0.0022582367862565025
USD-SOFRCMP-OFFSET2-3M,2015-10-29,2015-10-27,2016-01-27,0.0022897766291269553
USD-SOFRCMP-OFFSET2-3M,2015-10-30,2015-10-28,2016-01-28,0.0023245795237210143
USD-SOFRCMP-OFFSET2-3M,2015-11-02,2015-10-29,2016-01-29,0.0023626455386151273
USD-SOFRCMP-OFFSET2-3M,2015-11-03,2015-10-30,2016-01-29,0.002380911739161575
USD-SOFRCMP-OFFSET2-3M,2015-11-04,2015-11-02,2016-02-02,0.0025094732909150663
USD-SOFRCMP-OFFSET2-3M,2015-11-05,2015-11-03,2016-02-03,0.002545365789849792
USD-SOFRCMP-OFFSET2-3M,2015-11-06,2015-11-04,2016-02-04,0.002579083276156254
USD-SOFRCMP-OFFSET2-3M,2015-11-09,2015-11-05,2016-02-05,0.0026128010528069863
USD-SOFRCMP-OFFSET2-3M,2015-11-10,2015-11-06,2016-02-08,0.0026700503552832358
USD-SOFRCMP-OFFSET2-3M,2015-11-11,2015-11-09,2016-02-09,0.002736796570316273
USD-SOFRCMP-OFFSET2-3M,2015-11-12,2015-11-09,2016-02-09,0.002736796570316273
USD-SOFRCMP-OFFSET2-3M,2015-11-13,2015-11-10,2016-02-10,0.002768340277006425
USD-SOFRCMP-OFFSET2-3M,2015-11-16,2015-11-12,2016-02-12,0.002840130364595826
USD-SOFRCMP-OFFSET2-3M,2015-11-17,2015-11-13,2016-02-16,0.002908450936970914
USD-SOFRCMP-OFFSET2-3M,2015-11-18,2015-11-16,2016-02-16,0.0029706582772594794
USD-SOFRCMP-OFFSET2-3M,2015-11-19,2015-11-17,2016-02-17,0.0030032916286840735
USD-SOFRCMP-OFFSET2-3M,2015-11-20,2015-11-18,2016-02-18,0.003037013058231921
USD-SOFRCMP-OFFSET2-3M,2015-11-23,2015-11-19,2016-02-19,0.003072910392934954
USD-SOFRCMP-OFFSET2-3M,2015-11-24,2015-11-20,2016-02-22,0.003124642266348213
USD-SOFRCMP-OFFSET2-3M,2015-11-25,2015-11-23,2016-02-23,0.0032154138872362583
USD-SOFRCMP-OFFSET2-3M,2015-11-26,2015-11-24,2016-02-24,0.0032458736363149146
USD-SOFRCMP-OFFSET2-3M,2015-11-27,2015-11-24,2016-02-24,0.0032458736363149146
USD-SOFRCMP-OFFSET2-3M,2015-11-30,2015-11-25,2016-02-25,0.0032774214614158964
USD-SOFRCMP-OFFSET2-3M,2015-12-01,2015-11-27,2016-02-29,0.003333326600879317
USD-SOFRCMP-OFFSET2-3M,2015-12-02,2015-11-30,2016-02-29,0.0034036220130361852
USD-SOFRCMP-OFFSET2-3M,2015-12-03,2015-12-01,2016-03-01,0.0034289183642196124
USD-SOFRCMP-OFFSET2-3M,2015-12-04,2015-12-02,2016-03-02,0.0034542149121520303
USD-SOFRCMP-OFFSET2-3M,2015-12-07,2015-12-03,2016-03-03,0.003480611485968457
USD-SOFRCMP-OFFSET2-3M,2015-12-08,2015-12-04,2016-03-04,0.0035059083501059593
USD-SOFRCMP-OFFSET2-3M,2015-12-09,2015-12-07,2016-03-07,0.0035751996643343296
