Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
EUR-EURIBOR3M-BS,EUR-BS3M6M-9Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M-9Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,9Y,
EUR-EURIBOR3M-BS,EUR-BS3M6M-10Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M-10Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,10Y,
EUR-EURIBOR3M-BS,EUR-BS3M6M-15Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M-15Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,15Y,
EUR-EURIBOR3M-BS,EUR-BS3M6M-20Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M-20Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,20Y,
EUR-EURIBOR3M-BS,EUR-BS3M6M-30Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M-30Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,30Y,
EUR-EURIBOR3M-BS,EUR-BS3M6M-40Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M-40Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,40Y,
EUR-EURIBOR3M-BS,EUR-BS3M6M-50Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M-50Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,50Y,
,,,,,,,,
EUR-EURIBOR6M-IRS,EUR-FIX-EURIBOR6M, muRisQ-Ticker,EUR-EURIBOR-6M,MarketValue,FIX,EUR-EURIBOR-6M,,
EUR-EURIBOR6M-IRS,EUR-FRA-6Mx12M, muRisQ-Ticker,EUR-EURIBOR-6M-FRA-6Mx12M,MarketValue,FRA,EUR-EURIBOR-6M,6Mx12M,
EUR-EURIBOR6M-IRS,EUR-IRS6M-2Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-2Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,2Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-3Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-3Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,3Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-4Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-4Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,4Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-5Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-5Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,5Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-6Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-6Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,6Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-7Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-7Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-8Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-8Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,8Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-9Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-9Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,9Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-10Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-10Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-15Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-15Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,15Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-20Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-20Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,20Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-30Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-30Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,30Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-40Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-40Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,40Y,
EUR-EURIBOR6M-IRS,EUR-IRS6M-50Y, muRisQ-Ticker,EUR-FIXED-1Y-EURIBOR-6M-50Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,50Y,
