Curve Name,Value Type,Day Count,Interpolator,Left Extrapolator,Right Extrapolator
EUR-DSCESTR-OIS,Zero,Act/365F,NaturalCubicSpline,Flat,Flat
EUR-EONIA-OIS,Zero,Act/365F,NaturalCubicSpline,Flat,Flat
