Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date
,,,,,,,,
USD-DSCSO-OIS,ON,muRisQ-Ticker,USD-SOFR,MarketValue,DEP,USD-ShortDeposit-T0,1D,2020-03-18
USD-DSCSO-OIS,USD-OIS-1M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,1M,2020-04-29
USD-DSCSO-OIS,USD-OIS-3M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,3M,2020-06-10
USD-DSCSO-OIS,USD-OIS-6M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-6M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,6M,2020-09-16
USD-DSCSO-OIS,USD-OIS-8M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-8M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,8M,2020-11-05
USD-DSCSO-OIS,USD-OIS-9M,muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-9M,MarketValue,OIS,USD-FIXED-1Y-SOFR-OIS,9M,2020-12-16
